21796388,https://en.wikipedia.org/wiki?curid=21796388,Airbag (disambiguation),Airbag is a device designed to inflate rapidly in a collision.          Airbag may also refer to:,[]
4963491,https://en.wikipedia.org/wiki?curid=4963491,Matrimonial website,"Matrimonial websites, or marriage websites, are a variation of the standard dating websites.          Matrimonial sites are popular in India and among Indians settled overseas, as an alternative to the traditional marriage broker. According to the Associated Chambers of Commerce and Industry in India, the online matrimony business is expected to be a $250 Million business by 2017. According to The New York Times, there are over 1500 matrimony websites in India.          Matrimonial sites register users, after which they are able to upload their profile onto a searchable database maintained by the website. Those users looking to find suitors search the database with customised searches that typically include nationality, age, gender, availability of photograph and often religion, geographic location and caste (mainly for websites based in India).          There have been reports of abuse of information obtained from matrimonial websites.","['Websites', 'Marriage', 'Matchmaking', 'Indian matrimonial websites']"
37977255,https://en.wikipedia.org/wiki?curid=37977255,Time to Live (film),Time to Live () is a 1969 French drama film directed by Bernard Paul. It was entered into the 6th Moscow International Film Festival.,"['1969 films', '1960s drama films', 'French films', 'French drama films', 'French-language films']"
10861076,https://en.wikipedia.org/wiki?curid=10861076,Rosenbaum Brothers Department Store,"Rosenbaum Brothers Department Store (1849–1971) in its prime was one of the largest department stores between Pittsburgh, Pennsylvania and Baltimore, Maryland. Founded in 1848 in the City of Cumberland, Maryland along Baltimore Street, the Rosenbaum Department store once employed over 200 people. Their building was a magnificent , five story building, with Bay windows, trimmed stone, human-like sculptures on the keystones, and lions heads along the roofline comprise a few of the decorative architectal details. The building was constructed in 1897-1898 and opened in 1899. Updated by Morris (Mo) Rosenbaum Jun 6, 2007 and again on May 16, 2011.          Today, The Rosenbaum building is the home of the M&T Bank.","['Buildings and structures in Cumberland, Maryland', 'Defunct companies based in Baltimore, Maryland', 'Downtown Cumberland, Maryland', 'History of Cumberland, MD-WV MSA']"
36362223,https://en.wikipedia.org/wiki?curid=36362223,Ausa (Udine),"The Ausa or Aussa () is a river in the Italian province of Udine. Its source is near the city of Udine. The river flows south past Palmanova, Aiello del Friuli, Cervignano del Friuli and Terzo d'Aquileia before emptying into the Laguna di Marano between Marano Lagunare and Aquileia.",['Rivers of the Province of Udine']
31619549,https://en.wikipedia.org/wiki?curid=31619549,Mentat Portable Streams,"Mentat Portable Streams (MPS) was a platform independent implementation of the UNIX System V STREAMS networking protocol stack, normally sold with the Mentat TCP stack providing TCP/IP support. Portable Streams was used in a number of commercial products, including Apple Computer's Open Transport, AIX, VxWorks, Palm OS's Cobalt, Novell's UnixWare and other systems. Mentat also ported the system to Linux and Windows NT as a standalone product. Portable Streams was written by Mentat, who was purchased by Packeteer in 2004.",['Internet Protocol based network software']
47307672,https://en.wikipedia.org/wiki?curid=47307672,Nizar Abdul Zahra,"Nizar Abdul Zahra Khalaf (1 July 1961 – 15 May 2006), nicknamed (Maradona of Al-Minaa), was a Iraqi footballer who played forward. He spent the majority of his career with Al-Minaa club.          Nizar began playing in the People's Al-Ashar difference in the area, and after that he saw the coach Jamil Hanoon chosen to play at the club in 1980, has remained plays for his team even retired from playing in 1993.          Nizar after he retired, he began to exercise training as an assistant coach, accompanied coach Jalil Hanoon, where they were technical staff to Al-Mina'a U-16, and have achieved good results.          With the change that took place after the invasion of Iraq and the overthrow of Saddam in 2003, a number of ancient players of Al-Minaa team met and decided to restore the team to its normal position to be among the top clubs in the Iraqi Premier League, Nizar was one of those, where he became the administrative supervisor of the team, and during that period the team won the runner-up in the league, and qualified to play in AFC Champions League.          On Monday, 15 May 2006, Nizar was out of the Al Mina'a Stadium after the team's training, in 15:00 GMT, which is preparing to travel with your team to Kuwait, where taking place match Al-Mina'a against Al-Hilal within the 2006 AFC Champions League, and was assassinated by unidentified gunmen riding in a white Mazda car, within suspicious campaign to kill sportsmen in Iraq.          ِOn 15 May 2007 Al-Minaa Club celebrated the anniversary of the first anniversary of the death of the player to establish a friendly match between the pioneer players of the club. and on 3 March 2013 the Martyr Al-Hakim Foundation for youth and sport and in collaboration with The youth and sport province of Basra established sports championship football on behalf of the players: Nizar Abdul Zahra and Ali Al Diwan, the first match was among the pioneers of Al-Zawraa team led by Falah Hassan and pioneers of Al-Minaa team led by Jalil Hanoon, where 36 teams participated in this tournament.","['1961 births', '2006 deaths', 'Association football forwards', 'Iraqi footballers', 'Al-Minaa players', 'People by city in Iraq', 'People from Basra Province', 'People from Basra']"
15724042,https://en.wikipedia.org/wiki?curid=15724042,Pat Magner,"Patrick ""Pat"" Magner (born 25 March 1941) is a former Labour Party politician from Cork in Ireland. A long-serving Labour Party official, he was appointed as a Senator on three occasions.","['1941 births', 'Living people', 'Labour Party (Ireland) politicians', 'Members of the 15th Seanad', 'Members of the 17th Seanad', 'Members of the 20th Seanad', 'People from Cork (city)']"
38335206,https://en.wikipedia.org/wiki?curid=38335206,Lucchese Boot Company,"The Lucchese Boot Company () is an American retailer of cowboy boots.          Lucchese Boot Company was established in San Antonio, Texas in 1883 by Sam Lucchese, Sr. (1868-1929), an Italian immigrant from Sicily, and his brothers. It was then known as Lucchese Bros. Their main customer was the United States Army stationed in Fort Sam Houston. Sam Lucchese “stress[ed] quality, quantity and cost efficiency” in the boot-making process. He would often invest in new technology, machines and in developing new techniques in order to increase the production of boots.          In 1923, Sam Lucchese, Sr., fell ill, and his son Cosimo Lucchese took over. He incorporated the Lucchese Boot Company that same year, which had previously been known as Lucchese Bros.          In 1949, the company was commissioned to provide boots for an advertising campaign for Acme Boots. In 1961, Sam Lucchese, Jr., took over, and by 1964, President Lyndon B. Johnson admitted to wearing Lucchese boots.          In 1970, Lucchese was sold to Blue Bell Corporation, the parent company to Wrangler. By 1987, the company had moved from San Antonio, Texas to El Paso, Texas, where it is still headquartered. By 1998, Blue Bell Corporation sold Lucchese to Arena Brands, a Western Apparel conglomerate that was formerly known as Hat Brands, Inc.          In 2009, the Texas Legislature recognized the company's contribution to Texan culture by passing House Concurrent Resolution 226. Four years later, in 2013, Lucchese launched a new consumer website.          John Muse is the chairman of the company, who sponsors the Lucchese Polo Team.","['1883 establishments in the United States', 'Companies based in El Paso, Texas']"
11719051,https://en.wikipedia.org/wiki?curid=11719051,Stephen Cobb,Stephen Cobb may refer to:,[]
15515499,https://en.wikipedia.org/wiki?curid=15515499,James Goss,James Goss may refer to:,[]
2600044,https://en.wikipedia.org/wiki?curid=2600044,Aga Khan Foundation,"The Aga Khan Foundation (AKF) is a private, not-for-profit international development agency, which was founded in 1967 by Prince Shah Karim Al Hussaini, Aga Khan IV. AKF seeks to provide long-term solutions to problems of poverty, hunger, illiteracy and ill health in the poorest parts of South and Central Asia, Eastern and Western Africa, and the Middle East. In these regions, the needs of rural communities in mountainous, coastal and other resource-poor areas are given particular attention. The Foundation's activities often reinforce the work of other sister agencies within the Aga Khan Development Network (AKDN). While these agencies are guided by different mandates pertaining to their respective fields of expertise (the environment, culture, microfinance, health, education, architecture, rural development), their activities are often coordinated with one another in order to ""multiply"" the overall effect that the Network has in any given place or community. AKF also collaborates with local, national and international partners in order to bring about sustainable improvements of life in the 19 countries in which it works. The Foundation's head office is located in Geneva, Switzerland.          The Foundation concentrates its resources on selected issues in health, education, rural development, the environment and the strengthening of civil society. Seeking innovative approaches to generic problems, it tries to identify solutions that can be adapted to conditions in many different regions and replicated.          Cross-cutting issues that are also addressed by the Foundation include human resource development, community participation, and gender and development.          The Aga Khan Foundation is the principal grant-making agency for social development within the Aga Khan Development Network. Grants are normally given to local organizations interested in testing new solutions, in learning from experience and in being agents of lasting change. These organizations must share the Foundation's and Aga Khan Development Network's goals in their specific areas of focus. If no established group exists, the Foundation occasionally creates new organizations to tackle particularly important problems.          The Aga Khan provides the Foundation with regular funding for administration and new programme initiatives as well as contributions to its endowment. The Ismaili community contributes volunteer time, professional services and substantial financial resources. Other funding sources include income from investments and grants from government, institutional and private sector partners - as well as donations from individuals around the world.          One programme series funded by the Foundation was the BBC World News television series ""Architects on the Frontline"", which was about entries to the Aga Khan Award for Architecture competition, and was criticized by the media watchdog Ofcom for breaking United Kingdom broadcasting rules; viewers were not informed that the series, which praised the competition, was sponsored content.          Among other recognition for its work, the Foundation received the 2005 Award for Most Innovative Development Project from the Global Development Network for the Aga Khan Rural Support Programme (AKRSP) in Pakistan.          The Foundation normally intervenes where it has a strong volunteer base. It is currently active in the following countries: Afghanistan, Bangladesh, Canada, Egypt, India, Kenya, Kyrgyzstan, Madagascar, Mozambique, Pakistan, Portugal, Switzerland, Syria, Tajikistan, Tanzania, Uganda, United Kingdom, and United States.","['Aga Khan Development Network', 'Organizations established in 1967', 'Rural community development', 'Hunger relief organizations']"
5401149,https://en.wikipedia.org/wiki?curid=5401149,1991–92 UEFA Cup,"The 1991–92 UEFA Cup was won by Ajax on away goals over Torino.          Although this was the second season since the ban on English clubs in European competitions was lifted, only one English club was entered into the 1991–92 UEFA Cup. Liverpool, who had been forced to serve an extra year over all other English clubs as they had been the team present at the Heysel disaster which had sparked the ban in 1985, were England's representatives in the competition, and ultimately reached the quarter-finals. The defending champions were Internazionale F.C., who were eliminated in the first round by Boavista F.C..           This match was played in Klagenfurt due to the outbreak of the Croatian War of Independence.          <div id=""Boavista v Internazionale""/>          <div id=""CSKA Sofia v Parma""/>          <div id=""Real Oviedo v Genoa""/>          ""B 1903 won 0–3 on aggregate.""          ""Ajax won 4–0 on aggregate.""          ""Steaua București won 4–3 on aggregate.""          ""Sigma Olomouc won 0–6 on aggregate.""          <div id=""Internazionale v Boavista""/>          ""Boavista won 2–1 on aggregate.""          ""Celtic won 3–1 on aggregate.""          ""Bayern Munich won 1–3 on aggregate.""          ""Trabzonspor won 3–4 on aggregate.""          ""Eintracht Frankfurt won 11–1 on aggregate.""          ""Rot-Weiss Erfurt won 0–2 on aggregate.""          ""Auxerre won 6–1 on aggregate.""          ""Swarovski Tirol won 3–2 on aggregate.""          ""Torpedo Moscow won 2–4 on aggregate.""          ""Hamburger SV won 4–1 on aggregate.""          ""KAA Gent 1–1 Lausanne Sports on aggregate. KAA Gent won 4–1 on penalties""          ""Torino won 8–1 on aggregate.""          ""AEK Athens won 0–3 on aggregate.""          ""Liverpool won 6–2 on aggregate.""          ""Spartak Moscow won 1–5 on aggregate.""          ""Neuchâtel Xamax won 2–0 on aggregate.""          ""Lyon won 2–1 on aggregate.""          ""PAOK won 2–1 on aggregate.""          <div id=""Parma v CSKA Sofia""/>          ""Parma 1–1 CSKA Sofia. CSKA Sofia won on away goals.""          ""Osasuna won 1–4 on aggregate.""          <div id=""Genoa v Real Oviedo""/>          ""Genoa won 3–2 on aggregate.""          ""Salgueiros 1–1 Cannes on aggregate. Cannes won 2–4 on penalties""          ""Real Madrid won 2–3 on aggregate.""          ""Utrecht won 1–4 on aggregate.""          ""Dinamo won 2–1 on aggregate.""          ""Sporting Gijón 2–2 Partizan on aggregate. Sporting Gijón won 3–2 on penalties.""          ""Dynamo Moscow won 2–4 on aggregate.""          ""VfB Stuttgart won 6–3 on aggregate.""          <div id=""Genoa v Dinamo București""/>          <div id=""Torino v Boavista""/>          ""Liverpool won 3–2 on aggregate.""          ""Dynamo Moscow won 2–1 on aggregate.""          ""B 1903 won 6–3 on aggregate.""          ""Osasuna won 3–2 on aggregate.""          ""Real Madrid won 1–4 on aggregate.""          ""Ajax won 1–5 on aggregate.""          ""AEK Athens won 1–2 on aggregate.""          <div id=""Dinamo București v Genoa""/>          ""Genoa won 5–3 on aggregate.""          ""Hamburger SV won 6–1 on aggregate.""          ""KAA Gent won 1–0 on aggregate.""          ""Neuchâtel Xamax won 5–2 on aggregate.""          ""Trabzonspor won 8–4 on aggregate.""          ""Swarovski Tirol won 0–4 on aggregate.""          ""Sigma Olomouc won 2–0 on aggregate.""          ""Steaua București won 3–2 on aggregate.""          <div id=""Boavista v Torino""/>          ""Torino won 2–0 on aggregate.""          ""Torino won 3–2 on aggregate.""          ""B 1903 won 2–1 on aggregate.""          ""Ajax won 0–1 on aggregate.""          ""Liverpool won 0–6 on aggregate.""          ""Sigma Olomouc won 2–6 on aggregate.""          ""KAA Gent won 2–0 on aggregate.""          ""Real Madrid won 1–4 on aggregate.""          ""Genoa won 2–0 on aggregate.""          ""Torino won 3–0 on aggregate.""          ""Genoa won 4–1 on aggregate.""          ""Ajax won 0–3 on aggregate.""          ""Real Madrid won 1–2 on aggregate.""          ""Ajax won 4–3 on aggregate.""          ""Torino won 3–2 on aggregate.""          ""Ajax 2–2 Torino on aggregate. Ajax won on away goals rule.""          The top scorers from the 1991–92 UEFA Cup are as follows:","['UEFA Cup seasons', '1991\xe2\x80\x9392 in European football', '1991\xe2\x80\x9392 UEFA Cup']"
