"predictedY";"cl[ss == 3]"
"172";"[]";"['1988 births', 'Living people', 'Cameroonian footballers', 'Association football defenders', 'French people of Cameroonian descent', 'Cameroonian expatriate footballers', 'Expatriate footballers in Singapore', 'French expatriate footballers', 'Cameroon under-20 international footballers']"
"174";"[]";"['14th-century Eastern Orthodox church buildings', 'Fatih', 'Byzantine sacred architecture', 'Byzantine art', 'History of Moldavia (1504\xe2\x80\x931711)']"
"176";"[]";"['Unincorporated communities in Minnesota', 'Unincorporated communities in St. Louis County, Minnesota']"
"179";"[]";"[\"2011 in American women's soccer leagues\"]"
"185";"[]";"['1913 births', '1995 deaths', 'American Episcopalians', 'Bishops of the Episcopal Church in the United States of America', 'Harvard University alumni']"
"186";"[]";"['British World War I flying aces', '1888 births', '1971 deaths', 'Royal Air Force officers', 'Royal Army Service Corps officers', 'Royal Air Force personnel of World War II', 'Royal Flying Corps officers', 'Alumni of Pembroke College, Cambridge', 'People from Derby', 'Recipients of the Military Cross']"
"192";"[]";"['1981 births', 'Living people', 'Sportspeople from Stockton-on-Tees', 'Alumni of Durham University', 'English cricketers', 'English wicket-keepers', 'Durham University cricketers', 'Sportspeople from Yorkshire']"
"194";"[]";"['Assamese literature', 'Indian plays', 'Krishna', 'Ekasarana Dharma', '16th-century plays']"
"201";"[]";"['Model rocketry', 'Rocket engines']"
"203";"[]";"['Auto parts suppliers', 'Companies based in Bavaria', 'Companies established in 1973', 'Companies of Germany', 'Storage systems']"
"209";"[]";"['Lists of monarchs', 'Finnish monarchy']"
"217";"[]";"['Football clubs in Wales', 'Football clubs in Newport, Wales', 'Association football clubs established in 1973', '1973 establishments in Wales']"
"218";"[]";"['1960 births', 'Living people', 'Rugby league five-eighths', 'Canterbury-Bankstown Bulldogs players', 'South Sydney Rabbitohs players', 'Salford Red Devils players', 'Penrith Panthers players', 'Rugby league fullbacks']"
"222";"[]";"['Communes of Vosges (department)']"
"223";"[]";"['2007 singles', '2007 songs']"
"224";"[]";"['1990 births', 'Living people', 'Indian cricketers', 'Bengal cricketers', 'Sportspeople from Kolkata']"
"225";"[]";"['British motorcycle Grand Prix', '1993 MotoGP race reports', '1993 in British motorsport']"
"227";"[]";"['2016 albums', 'Filter (band) albums']"
"239";"[]";"[]"
"244";"[]";"['Railway stations in Denmark', 'Copenhagen S-train stations', 'Railway stations in Copenhagen', 'Railway stations opened in 1986']"
"245";"[]";"['Analytic number theory', 'Mathematical identities']"
"248";"[]";"['1982 births', 'Living people', 'Russian footballers']"
"249";"[]";"['Aglaia', 'Vulnerable plants']"
"253";"[]";"[]"
"254";"[]";"['1928 births', '2011 deaths', 'Scottish emigrants to the United States', 'Alumni of the Royal College of Art', 'Scottish interior designers', 'People from Aberdeen']"
"258";"[]";"['Living people', 'New Zealand country singers', 'New Zealand male singers', 'New Zealand television presenters', '1951 births', 'People from Te Kuiti']"
"263";"[]";"['Las Vegas Valley', 'Summerlin', 'Census-designated places in Clark County, Nevada', 'Census-designated places in Nevada']"
"267";"[]";"['Manipuri-language films', 'Films shot in Delhi', '2014 films', 'Indian films']"
"272";"[]";"['Libraries in China']"
"273";"[]";"['Indian handicrafts', 'Culture of Himachal Pradesh', 'Economy of Himachal Pradesh', 'Embroidery in India', 'Geographical Indications in Himachal Pradesh', 'Chamba district']"
"277";"[]";"['United States Navy organization', 'Maritime safety organizations']"
"289";"[]";"['Towns in Saxony-Anhalt']"
"295";"[]";"['Former municipalities in Elbasan County', 'Administrative units of Elbasan', 'Villages in Elbasan County']"
"296";"[]";"['Census-designated places in Boulder County, Colorado', 'Census-designated places in Colorado', 'Denver metropolitan area']"
"297";"[]";"['Living people', 'Telugu film editors', 'Malayalam film editors', 'Best Editor National Film Award winners', 'Tamil film editors', 'Tamil Nadu State Film Awards winners']"
"302";"[]";"['Lakes of Glacier National Park (U.S.)', 'Lakes of Flathead County, Montana']"
"309";"[]";"['Los Angeles County Metropolitan Transportation Authority', 'Public transportation in Los Angeles, California', 'Public transportation in Los Angeles County, California', 'Public transportation in the San Fernando Valley']"
"321";"[]";"['1898 births', '1971 deaths', 'American book publishers (people)', 'American Jews', 'American people of German-Jewish descent', 'American television personalities', 'Jewish American writers', 'Random House', 'Townsend Harris High School alumni', 'Columbia University alumni', 'Columbia University Graduate School of Journalism alumni']"
"327";"[]";"['1932 books', 'Self-help books']"
"328";"[]";"['1923 films', '1920s historical films', 'British films', 'British historical films', 'British silent films', 'Films set in the 17th century', 'Films set in the 1600s', 'English-language films', 'Films directed by Maurice Elvey', 'Films set in London', 'Films based on actual events', 'Films based on British novels', 'Stoll Pictures films', 'Guy Fawkes', 'British black-and-white films']"
"333";"[]";"['1927 births', '2001 deaths', \"Fellows of The Queen's College, Oxford\", 'Academics of the University of Manchester', 'People from Barnsley', '20th-century British historians']"
"334";"[]";"['Districts of Bavaria', 'Mittelschwaben', 'Swabia (Bavaria)', 'Neu-Ulm (district)']"
"335";"[]";"['Parishes of R\xc4\x93zekne District']"
"337";"[]";"['Bosnia and Herzegovina music', 'Croatian music history', 'Culture of Vojvodina', 'Kosovar music', 'Macedonian music', 'Montenegrin music', 'Music history of Slovenia', 'Serbian music', 'Yugoslav music', 'Yugoslav rock']"
"343";"[]";"['1974 births', 'Living people', 'Atlanta Braves players', 'Philadelphia Phillies players', 'Cleveland Indians players', 'Texas Rangers players', 'Baltimore Orioles players', 'Colorado Rockies players', 'Seattle Mariners players', 'American League ERA champions', 'Baseball players from North Carolina', 'Major League Baseball pitchers', 'National League All-Stars', 'Sportspeople from Atlanta, Georgia', 'People from Gastonia, North Carolina', 'Gulf Coast Braves players', 'Danville Braves players', 'Macon Braves players', 'Greenville Braves players', 'Durham Bulls players', 'Richmond Braves players', 'Frisco RoughRiders players', 'Trenton Thunder players', 'Scranton/Wilkes-Barre Yankees players', 'Pawtucket Red Sox players']"
"349";"[]";"['David Bowie songs', '1986 songs', 'Songs written by David Bowie', 'Song recordings produced by David Bowie', 'Music videos directed by Steve Barron', 'Pop ballads']"
"350";"[]";"['Doors', 'Fairies and sprites in popular culture', 'Environmental art']"
"351";"[]";"['Rivers of Hamburg', 'Alster basin']"
"353";"[]";"['1923 births', '1985 deaths', 'New Zealand cricketers', 'Auckland cricketers', 'Sportspeople from Auckland']"
"366";"[]";"['Towns and villages in County Meath', 'Townlands of County Meath']"
"369";"[]";"['Bleach (Japanese band) albums', '2003 albums']"
"375";"[]";"['1958 novels', 'Malayalam novels', 'Indian novels adapted into films', 'Novels set in Kerala', 'Novels by M. T. Vasudevan Nair', 'Kerala Sahitya Akademi Award-winning works', 'DC Books books']"
"382";"[]";"['1988 births', 'Living people', 'Calgary Inferno players', \"Canadian women's ice hockey players\", 'Ice hockey people from Ontario', 'Ice hockey players at the 2010 Winter Olympics', 'Ice hockey players at the 2014 Winter Olympics', 'Medalists at the 2010 Winter Olympics', 'Medalists at the 2014 Winter Olympics', \"Minnesota\xe2\x80\x93Duluth Bulldogs women's ice hockey players\", 'Montreal Stars players', 'Olympic gold medalists for Canada', 'Olympic ice hockey players of Canada', 'Olympic medalists in ice hockey', 'Sportspeople from Thunder Bay']"
"391";"[]";"['Patrol vessels of the United States Navy', 'World War I patrol vessels of the United States', 'Ships built in New York', 'Individual yachts', '1914 ships']"
"399";"[]";"['American political consultants', 'Living people']"
"402";"[]";"['American radio personalities', '1945 births', 'Fordham University alumni', '2012 deaths', 'Radio personalities from New York City']"
"407";"[]";"['Earth goddesses', 'Fertility goddesses', 'Roman goddesses', 'Rhea']"
"415";"[]";"['History of Cumbria', 'Districts of England abolished by the Local Government Act 1972', 'Districts of England created by the Local Government Act 1894', 'Rural districts of England', 'Westmorland']"
"420";"[]";"['Former buildings and structures in Omaha, Nebraska', 'Meatpacking industry in Omaha, Nebraska', 'History of South Omaha, Nebraska', '1901 disestablishments in Nebraska', '1880s establishments in Nebraska']"
"424";"[]";"['1865 births', '1939 deaths', 'People from Vienna', 'German Roman Catholics', 'Dukes of W\xc3\xbcrttemberg', 'Field marshals of Prussia', 'German military personnel of World War I', 'Pretenders to the throne of W\xc3\xbcrttemberg', 'Grand Crosses of the Military Order of Max Joseph', 'Knights of the Golden Fleece', 'Recipients of the Pour le M\xc3\xa9rite (military class)', 'Recipients of the Military Merit Cross (Mecklenburg-Schwerin), 1st class', 'Members of the W\xc3\xbcrttembergian Chamber of Lords', 'Military personnel of W\xc3\xbcrttemberg', 'Grand Crosses of the Military Merit Order (W\xc3\xbcrttemberg)']"
"428";"[]";"['Anxiolytics', 'Chloroarenes', 'Cyclopyrrolones', 'GABAA receptor positive allosteric modulators', 'Isoindolines', 'Ketones', 'Lactams', 'Naphthyridines']"
"447";"[]";"['1795 births', '1882 deaths', 'People from Loire (department)', 'French cardinals']"
"460";"[]";"['Buner District', 'Populated places in Buner District', 'Khyber Pakhtunkhwa geography stubs', 'Union Councils of Khyber Pakhtunkhwa', 'Union Councils of Buner District']"
"499";"[]";"['Architecture firms based in Connecticut', 'Companies based in New Haven County, Connecticut', 'Construction and civil engineering companies of the United States', 'Engineering companies of the United States', 'Engineering consulting firms']"
